"company","laid offs","layoff date","Industry","location"
"Rec Room","(100%)","30 Mar, 2026","Gaming","Seattle, US"
"X","20","27 Mar, 2026","Software Development","Bastrop, US"
"T- Mobile",,"27 Mar, 2026","Telecommunications","Bellevue, US"
"Fiserv","118","27 Mar, 2026","IT Services and IT Consulting","Milwaukee, US"
"Meta","700","26 Mar, 2026","Software Development","Menlo Park, US"
"Lean In","(25%)","26 Mar, 2026","Non-profit Organizations","Palo Alto, US"
"Epic Games","1000","24 Mar, 2026","Computer Games","Cary, US"
"Synopsys","55","24 Mar, 2026","Software Development","Sunnyvale, US"
"OpenText",,"24 Mar, 2026","Data","Waterloo, CA"
"Spotify","15","23 Mar, 2026","Music streaming service","Stockholm, SE"
"Crypto.com","(12%)","20 Mar, 2026","Financial Services","Singapore, SG"
"Gemini","(25%)","20 Mar, 2026","Financial Services","New York, US"
"Snowflake","70","20 Mar, 2026","Cloud data warehouse","Bozeman, US"
"Algorand Foundation","(25%)","19 Mar, 2026","Cryptocurrency","New York, US"
"Ubisoft","105","19 Mar, 2026","Computer Games","Paris, FR"
"Dell",,"17 Mar, 2026","Computer Hardware Manufacturing","Round Rock, US"
"WB Games Montreal",,"16 Mar, 2026","Entertainment","Montreal, CA"
"Messari",,"16 Mar, 2026","Crypto Market Intelligence","New York, US"
"Digg",,"13 Mar, 2026","Consumer","New York, US"
"Loopio","(12%)","13 Mar, 2026","Software Development","Toronto, CA"
"Stone","400 (3%)","13 Mar, 2026","Finance","Sao Paulo, BR"
"Atlassian","1600 (10%)","12 Mar, 2026","Software Development","Sydney, AU"
"Dream11","100","12 Mar, 2026","Fantasy sports","Mumbai, IN"
"Optimism Foundation","(20%)","12 Mar, 2026","Ethereum scalability","New York, US"
"InvestCloud","150","10 Mar, 2026","Financial Services","West Hollywood, US"
"Flipkart","500","06 Mar, 2026","Retail","Bengaluru, IN"
"Compass","110","06 Mar, 2026","Real Estate Technology","New York, US"
"SSense","215","05 Mar, 2026","Retail","Montreal, CA"
"nDreams",,"05 Mar, 2026","Computer Games","Farnborough, GB"
"Halfbrick","41","04 Mar, 2026","Computer Games","Brisbane, AU"
"Envato","200 (30%)","04 Mar, 2026","Creative Marketplace","Melbourne, AU"
"At-Bay","25","04 Mar, 2026","Insurance for cybersecurity threats","Tel Aviv-Yafo, IL"
"Amazon",,"04 Mar, 2026","E-commerce","Seattle, US"
"Verint Systems",,"02 Mar, 2026","Security","New York, US"
"MicroVision","49","02 Mar, 2026","Computers and Electronics Manufacturing","Redmond, US"
"Underdog","125 (20%)","02 Mar, 2026","Spectator Sports","Brooklyn, US"
"IAC","77","28 Apr, 2026","Software Development","New York, US"
"Pentera","40 (10%)","27 Apr, 2026","Security Validation","Burlington, US"
"Qualtrics","5","24 Apr, 2026","Software Development","Seattle, US"
"Sight","20 (100%)","21 Apr, 2026","Biotechnology Research","Tel Aviv-Yafo, IL"
"Meta","8000","20 Apr, 2026","Software Development","Menlo Park, US"
"Amazon","600","20 Apr, 2026","E-commerce","Seattle, US"
"Acko","60 (5%)","20 Apr, 2026","Insurance","Bengaluru, IN"
"Sama","1100","17 Apr, 2026","Data annotation for artificial intelligence","Kenya"
"GeoComply","80 (15%)","17 Apr, 2026","Software Development","Vancouver, CA"
"Iron Galaxy Studios",,"17 Apr, 2026","Computer Games","Chicago, US"
"Artsy",,"17 Apr, 2026","Online art marketplace.","New York, US"
"Vianai Systems","(90%)","16 Apr, 2026","Enterprise artificial intelligence","Palo Alto, US"
"Shutterfly","80","16 Apr, 2026","Photo Printing","San Jose, US"
"Snap","1000","15 Apr, 2026","Software Development","Santa Monica, US"
"PayRay bank","(40%)","15 Apr, 2026","Banking","Vilnius, LT"
"Nayax","32 (3%)","15 Apr, 2026","Financial Services","Herzliya, IL"
"Taboola","100 (5%)","15 Apr, 2026","Advertising Technology","New York, US"
"Productboard","(30%)","15 Apr, 2026","Product","San Francisco, US"
"The Walt Disney Company","1000","14 Apr, 2026","Entertainment Providers","Burbank, US"
"Eventbrite",,"14 Apr, 2026","The ticket marketplace","San Francisco, US"
"StarkWare",,"13 Apr, 2026","Software Development","Netanya, IL"
"Life360",,"10 Apr, 2026","Individual and Family Services","San Mateo, US"
"Qualcomm","66","10 Apr, 2026","Semiconductor Manufacturing","San Diego, US"
"HCLTech","120","08 Apr, 2026","IT Services and IT Consulting","Noida, IN"
"Pendo","90 (10%)","07 Apr, 2026","Product Analytics Software","Raleigh, US"
"GoPro","145 (23%)","07 Apr, 2026","Action cameras","San Mateo, US"
"Take-Two Interactive",,"05 Apr, 2026","Gaming","New York, US"
"Bolt","(33%)","05 Apr, 2026","Finance","San Francisco, US"
"NeuroPixel.AI","(100%)","03 Apr, 2026","AI startup","Bengaluru, IN"
"Kintsugi","(100%)","02 Apr, 2026","Mental Health Care startup","Berkeley, US"
"GDIT","95","02 Apr, 2026","IT Services and IT Consulting","Falls Church, US"
"Vimeo","130","02 Apr, 2026","Video Hosting Platform","New York, US"
"Meta","200","02 Apr, 2026","Software Development","San Francisco, US"
"Oracle","30000","01 Apr, 2026","IT Services and IT Consulting","Austin, US"
"Monzo","50","01 Apr, 2026","Banking","London, GB"
"Polyarc","30","01 Apr, 2026","Video Games","Seattle, US"
"ClickUp","(22%)","21 May, 2026","AI Workspace","San Diego, US"
"Quantic Dream","95","21 May, 2026","Computer Games","Paris, FR"
"Bankless",,"21 May, 2026","Media Production","United States"
"Meta","8000 (10%)","20 May, 2026","Software Development","Menlo Park, US"
"Intuit","3000 (17%)","20 May, 2026","Enterprise software","Mountain View, US"
"SQream","(100%)","18 May, 2026","Software Development","New York, US"
"AI21 Labs","(60%)","18 May, 2026","Software Development","Tel Aviv-Yafo, IL"
"Dune Analytics","(25%)","15 May, 2026","Crypto data analytics","Oslo, NO"
"Kraken","150 (5%)","15 May, 2026","Financial Services","Cheyenne, US"
"Gameteq","40","15 May, 2026","Computer Games","Limassol, CY"
"Gambling.com","(25%)","15 May, 2026","Gambling Facilities and Casinos","Dublin, IE"
"Innovaccer","340","15 May, 2026","Healthcare","San Francisco, US"
"Cisco","4000","14 May, 2026","Software Development","San Jose, US"
"LinkedIn","875 (5%)","14 May, 2026","Software Development","Sunnyvale, US"
"Playtika",,"14 May, 2026","Computer Games","Berlin, DE"
"Guesty","20","13 May, 2026","Property management software","Israel"
"Night Street Games",,"13 May, 2026","Computer Games","Las Vegas, US"
"Walmart","1000","12 May, 2026","Technology","Bentonville, US"
"ZoomInfo","300","11 May, 2026","Software Development","Vancouver, US"
"Adda247","200 (20%)","10 May, 2026","E-Learning Providers","Gurugram, IN"
"Parker","(100%)","09 May, 2026","Fintech","New York, US"
"xAI","10","09 May, 2026","Technology, Information and Internet","Palo Alto, US"
"Bill","(30%)","08 May, 2026","Financial Automation Software","San Jose, US"
"Cloudflare","1100 (20%)","08 May, 2026","Computer and Network Security","San Francisco, US"
"Truecaller","70","08 May, 2026","Software Development","Stockholm, SE"
"Upwork","(24%)","07 May, 2026","Software Development","San Francisco, US"
"DeepL","250 (25%)","07 May, 2026","Software Development","Cologne, DE"
"Ticketmaster","350 (8%)","07 May, 2026","Entertainment Providers","Beverly Hills, US"
"Pocket FM","120 (10%)","06 May, 2026","Entertainment Providers","Bengaluru, IN"
"Freshworks","500 (11%)","06 May, 2026","Software Development","San Mateo, US"
"Arctic Wolf","250 (10%)","06 May, 2026","Computer and Network Security","Eden Prairie, US"
"LSports","40 (20%)","06 May, 2026","Real Time Sports Data","Tel Aviv-Yafo, IL"
"Shopify","30","04 May, 2026","E-commerce","Ottawa, CA"
