Nr,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude
1659,Brave Care,Portland,Cascadia,Oregon,USA,North America,,2024-04-02,100.0,,0.0,Healthcare,Series B,43.0,2024,45.5202471,-122.674194
1660,Thepeer,Lagos,other,non,Nigeria,Africa,,2024-04-02,100.0,,0.0,Finance,Seed,2.0,2024,6.4550575,3.3941795
1661,Epicery,Paris,other,non,France,Europe,,2024-04-02,100.0,,0.0,Food,Acquired,7.0,2024,48.8588897,2.320041022
1662,Byju's,Bengaluru,other,Karnataka,India,Asia,500.0,2024-04-02,3.0,16667.0,16167.0,Education,Private Equity,,2024,12.98815675,77.62260004
1663,Bell,Montreal,other,Quebec,Canada,North America,400.0,2024-04-02,,,,Telecommunications,Unknown,,2024,45.5031824,-73.5698065
1664,Lentra,Pune,other,Maharashtra,India,Asia,,2024-04-02,,,,Fintech,Series B,104.0,2024,18.521428,73.8544541
1665,Vivian Health,San Francisco,San Francisco Bay Area,California,USA,North America,13.0,2024-04-03,,,,Healthcare,Acquired,,2024,37.7792588,-122.4193286
1666,New Relic,San Francisco,San Francisco Bay Area,California,USA,North America,,2024-04-03,,,,Infrastructure,Acquired,214.0,2024,37.7792588,-122.4193286
1667,Lightspeed Commerce,Montreal,other,Quebec,Canada,North America,280.0,2024-04-03,10.0,2800.0,2520.0,Retail,Post-IPO,1200.0,2024,45.5031824,-73.5698065
1668,Yummly,San Carlos,San Francisco Bay Area,California,USA,North America,,2024-04-03,100.0,,0.0,Food,Acquired,24.0,2024,37.504936,-122.261823
1669,CoRover,Bengaluru,other,Karnataka,India,Asia,,2024-04-03,,,,IT Services,Unknown,,2024,12.98815675,77.62260004
1670,Amazon,Seattle,Cascadia,Washington,USA,North America,,2024-04-03,,,,IT Services,Unknown,,2024,47.6038321,-122.330062
1671,Kaseya,Miami,other,Florida,USA,North America,150.0,2024-04-03,,,,Software Development,Unknown,547.0,2024,25.7741728,-80.19362
1672,Agility Robotics,Portland,Cascadia,Oregon,USA,North America,,2024-04-04,,,,Other,Series B,,2024,45.5202471,-122.674194
1673,Apple,Cupertino,San Francisco Bay Area,California,USA,North America,614.0,2024-04-05,,,,Hardware,Unknown,,2024,37.3228934,-122.0322895
1674,Ghost Autonomy,Mountain View,San Francisco Bay Area,California,USA,North America,100.0,2024-04-05,100.0,100.0,0.0,Transportation,Series E,247.0,2024,37.3893889,-122.0832101
1675,Bolt.Earth,Bengaluru,other,Karnataka,India,Asia,70.0,2024-04-06,40.0,175.0,105.0,Software Development,Unknown,,2024,12.98815675,77.62260004
1676,EXL,New York City,other,New York,USA,North America,800.0,2024-04-06,2.0,40000.0,39200.0,IT Services,Unknown,,2024,40.7127281,-74.0060152
